pasture,acres,grazing_year,actual_days_on,head_on,head_off,lbs_on,lbs_off,months,ave_no_head,ave_wt_on,ave_wt_off,ave_wt,AUE1,AUE2,AUM_per_head,Total_AUM,Stocking_AUM_per_Acre,Stocking_Acres_per_AUM,Total_AUY,Acres_per_AUY
Big,3813,1995,80,2000,1981,1226862,1621443,2.666666667,1990.5,613.431,818.4972236,715.9641118,102.5331118,0.715964112,1.909237631,3800.337505,0.996679125,1.003331939,316.6947921,12.03998327
Big,3813,1996,88,1747,1746,1105966,1447658,2.933333333,1746.5,633.0658271,829.1282932,731.0970602,98.03123305,0.73109706,2.144551377,3745.458979,0.982286645,1.018032775,312.1215816,12.21639331
Big,3813,1997,87,1793,1793,1093863,1444954,2.9,1793,610.0741774,805.8862242,707.9802008,97.90602342,0.707980201,2.053142582,3681.28465,0.965456242,1.035779724,306.7737208,12.42935669
Big,3813,1998,101,1936,1930,972013,1353638,3.366666667,1933,502.0728306,701.3668394,601.719835,99.6470044,0.601719835,2.025790111,3915.852285,1.026974111,0.973734381,326.3210237,11.68481257
Big,3813,1999,89,2476,2467,1170258,1469748,2.966666667,2471.5,472.6405493,595.7632752,534.2019123,61.56136298,0.534201912,1.584799006,3916.830744,1.027230722,0.973491133,326.402562,11.6818936
Big,3813,2000,122,1895,1886,864773,1273283,4.066666667,1890.5,456.344591,675.1235419,565.7340665,109.3894754,0.565734066,2.30065187,4349.382361,1.140672006,0.8766762,362.4485301,10.5201144
Big,3813,2001,76,2079,2074,988947,1382668,2.533333333,2076.5,475.6839827,666.6673095,571.1756461,95.49166343,0.571175646,1.446978303,3004.650447,0.788001691,1.26903281,250.3875373,15.22839372
Big,3813,2002,92,1987,1987,937697,1333012,3.066666667,1987,471.9159537,670.8666331,571.3912934,99.47533971,0.571391293,1.752266633,3481.7538,0.913127144,1.095137744,290.14615,13.14165292
Big,3813,2003,83,1859,1859,1003240,1345760,2.766666667,1859,539.6664874,723.9160839,631.7912856,92.12479828,0.631791286,1.74795589,3249.45,0.85220299,1.17342935,270.7875,14.08115219
Big,3813,2004,105,1930,1930,911130,1224537,3.5,1930,472.0880829,634.4751295,553.2816062,81.19352332,0.553281606,1.936485622,3737.41725,0.980177616,1.020223257,311.4514375,12.24267909
Big,3813,2007,85,757,752,348316,509934,2.833333333,754.5,460.1268164,678.1037234,569.1152699,108.9884535,0.56911527,1.612493265,1216.626168,0.319073215,3.134076925,101.385514,37.6089231
Big,3813,2008,94,972,971,520131,666995,3.133333333,971.5,535.1141975,686.915551,611.0148743,75.90067672,0.611014874,1.914513273,1859.949644,0.487791672,2.050055501,154.9958037,24.60066601
Big,3813,2006,94,1149,1021,513603,654637,3.133333333,1085,447,641.17238,544.08619,97.08619001,0.54408619,1.704803395,1849.711684,0.485106657,2.061402343,154.1426403,24.73682812
Big,3813,2009,95,740,740,526201,661401,3.166666667,740,711.0824324,893.7851351,802.4337838,91.35135135,0.802433784,2.541040315,1880.369833,0.493147085,2.027792582,156.6974861,24.33351099
Big,3813,2010,91,1192,1176,519712,759153,3.033333333,1184,436,645.5382653,540.7691327,104.7691327,0.540769133,1.640333036,1942.154314,0.509350725,1.963283747,161.8461929,23.55940497
Big,3813,2011,92,1003,1003,498008,713165,3.066666667,1003,496.5184447,711.0319043,603.7751745,107.2567298,0.603775174,1.851577202,1857.131933,0.487052697,2.053165923,154.7609944,24.63799108
Big,3813,2012,91,1348,1335,504091,704676,3.033333333,1341.5,373.9547478,527.847191,450.9009694,76.94622162,0.450900969,1.36773294,1834.81374,0.481199512,2.078140095,152.901145,24.93768114
Big,3813,2013,80,556,548,256605,323597,2.666666667,552,461.5197842,590.5054745,526.0126293,64.49284514,0.526012629,1.402700345,774.2905903,0.203065982,4.924507733,64.52421586,59.0940928
Big,3813,2014,91,1013,1006,545997,721285,3.033333333,1009.5,538.9901283,716.9831014,627.9866149,88.99648653,0.627986615,1.904892732,1922.989213,0.504324472,1.982850437,160.2491011,23.79420524
Big,3813,2015,97,838,838,532968,684646,3.233333333,838,636,817,726.5,90.5,0.7265,2.349016667,1968.475967,0.51625386,1.937031523,164.0396639,23.24437828
Big,3813,2016,101,859,859,500074,663148,3.366666667,859,582.1583236,772,677.0791618,94.92083818,0.677079162,2.279499845,1958.090367,0.513530125,1.947305428,163.1741972,23.36766514
Big,3813,2017,109,617,612,501917,576504,3.633333333,614.5,813.4797407,942,877.7398703,64.26012966,0.87773987,3.189121529,1959.71518,0.51395625,1.945690904,163.3095983,23.34829085
Big,3813,2018,101,555,555,450125,542384,3.366666667,555,811.036036,977.2684685,894.1522523,83.11621622,0.894152252,3.010312583,1670.723483,0.438165089,2.282244811,139.2269569,27.38693773
Big,3813,2019,98,825,818,419846,521571,3.266666667,821.5,508.9042424,637.6173594,573.2608009,64.35655849,0.573260801,1.87265195,1538.383577,0.403457534,2.478575602,128.1986314,29.74290723
Big,3813,2020,99,278,276,158020,228608.1,3.3,277,568.4172662,828.2902174,698.3537418,129.9364756,0.698353742,2.304567348,638.3651554,0.167418084,5.973070378,53.19709628,71.67684454
Big,3813,2021,90,570,608,359020,461320,3,589,629.8596491,758.75,694.3048246,64.44517544,0.694304825,2.082914474,1226.836625,0.321751016,3.107993291,102.2363854,37.2959195
Big,3813,2022,81,643,641,389266,523587,2.7,642,605.3903577,816.8283931,711.1093754,105.7190177,0.711109375,1.919995314,1232.636991,0.323272224,3.093368142,102.7197493,37.12041771
Big,3813,2022,81,643,641,389266,523587,2.7,642,605.3903577,816.8283931,711.1093754,105.7190177,0.711109375,1.919995314,1232.636991,0.323272224,3.093368142,102.7197493,37.12041771
Big,3813,2023,90,517,517,326581,451800,3,517,631.6847195,873.8878143,752.7862669,121.1015474,0.752786267,2.258358801,1167.5715,0.306208104,3.26575289,97.297625,39.18903468
Crusher Hill,1309,1997,88,837,837,364095,590922,2.933333333,837,435,706,570.5,135.5,0.5705,1.673466667,1400.6916,1.070047059,0.934538338,116.7243,11.21446006
Crusher Hill,1309,2000,72,1165,1165,427555,565478,2.4,1165,367,485.3888412,426.1944206,59.1944206,0.426194421,1.022866609,1191.6396,0.910343468,1.098486489,99.3033,13.18183786
Crusher Hill,1309,2001,109,418,418,204402,295729,3.633333333,418,489,707.4856459,598.242823,109.242823,0.598242823,2.17361559,908.5713167,0.694095735,1.440723448,75.71427639,17.28868137
Crusher Hill,1309,2002,106,550,539,222750,287215,3.533333333,544.5,405,532.8664193,468.9332096,63.93320965,0.46893321,1.656897341,902.180602,0.6892136,1.450929001,75.18171684,17.41114802
Crusher Hill,1309,2003,97,415,413,227420,319662,3.233333333,414,548,774,661,113,0.661,2.137233333,884.8146,0.675946982,1.479405968,73.73455,17.75287162
Crusher Hill,1309,2004,93,578,578,310964,399443,3.1,578,538,691.0778547,614.5389273,76.53892734,0.614538927,1.905070675,1101.13085,0.841200038,1.188777882,91.76090417,14.26533459
Crusher Hill,1309,2005,96,516,515,335916,418203,3.2,515.5,651,812.0446602,731.5223301,80.5223301,0.73152233,2.340871456,1206.719236,0.921863434,1.084759372,100.5599363,13.01711246
Crusher Hill,1309,2007,81,482,480,242384,319462,2.7,481,502.8713693,665.5458333,584.2086013,81.33723202,0.584208601,1.577363224,758.7117105,0.579611696,1.725292996,63.22597588,20.70351595
